,u,x,y,z,t
141,1.8242187500000075,0.4375,0.5625,0.0,
142,1.7500000000000064,0.5,0.5,0.0,
143,1.699218750000005,0.5625,0.4375,0.0,
144,1.6718750000000036,0.625,0.375,0.0,
145,1.6679687500000029,0.6875,0.3125,0.0,
146,1.687500000000002,0.75,0.25,0.0,
147,1.7304687500000007,0.8125,0.1875,0.0,
148,1.7968750000000009,0.875,0.125,0.0,
149,1.87890625,0.9375,0.0,0.0,
150,1.8867187500000004,0.9375,0.0625,0.0,
151,3.0,0.0,1.0,0.0,
152,3.00390625,0.0625,1.0,0.0,
153,2.7734375,0.125,0.9375,0.0,
154,2.5664062500000013,0.1875,0.875,0.0,
155,2.382812500000005,0.25,0.8125,0.0,
156,2.2226562500000067,0.3125,0.75,0.0,
157,2.0859375000000075,0.375,0.6875,0.0,
158,1.9726562500000082,0.4375,0.625,0.0,
159,1.8828125000000095,0.5,0.5625,0.0,
160,1.8164062500000067,0.5625,0.5,0.0,
161,1.7734375000000047,0.625,0.4375,0.0,
162,1.753906250000003,0.6875,0.375,0.0,
163,1.7578125000000027,0.75,0.3125,0.0,
164,1.785156250000001,0.8125,0.25,0.0,
165,1.8359375000000016,0.875,0.1875,0.0,
166,1.9101562500000004,0.9375,0.125,0.0,
167,2.0,1.0,0.0,0.0,
168,2.0078125,1.0,0.0625,0.0,
169,3.015625,0.125,1.0,0.0,
170,2.79296875,0.1875,0.9375,0.0,
171,2.5937500000000036,0.25,0.875,0.0,
172,2.4179687500000067,0.3125,0.8125,0.0,
173,2.265625000000006,0.375,0.75,0.0,
174,2.136718750000007,0.4375,0.6875,0.0,
175,2.031250000000008,0.5,0.625,0.0,
176,1.9492187500000089,0.5625,0.5625,0.0,
177,1.8906250000000064,0.625,0.5,0.0,
178,1.8554687500000044,0.6875,0.4375,0.0,
179,1.8437500000000038,0.75,0.375,0.0,
180,1.8554687500000027,0.8125,0.3125,0.0,
181,1.8906250000000018,0.875,0.25,0.0,
182,1.9492187500000016,0.9375,0.1875,0.0,
183,2.03125,1.0,0.125,0.0,
184,3.03515625,0.1875,1.0,0.0,
185,2.8203125000000018,0.25,0.9375,0.0,
186,2.628906250000004,0.3125,0.875,0.0,
187,2.460937500000007,0.375,0.8125,0.0,
188,2.316406250000008,0.4375,0.75,0.0,
189,2.195312500000008,0.5,0.6875,0.0,
190,2.0976562500000093,0.5625,0.625,0.0,
191,2.0234375000000075,0.625,0.5625,0.0,
192,1.9726562500000062,0.6875,0.5,0.0,
193,1.9453125000000044,0.75,0.4375,0.0,
194,1.9414062500000033,0.8125,0.375,0.0,
195,1.960937500000001,0.875,0.3125,0.0,
196,2.0039062500000013,0.9375,0.25,0.0,
197,2.0703125,1.0,0.1875,0.0,
198,3.0625,0.25,1.0,0.0,
199,2.8554687500000018,0.3125,0.9375,0.0,
200,2.6718750000000053,0.375,0.875,0.0,
201,2.511718750000006,0.4375,0.8125,0.0,
202,2.375000000000007,0.5,0.75,0.0,
203,2.261718750000009,0.5625,0.6875,0.0,
204,2.1718750000000084,0.625,0.625,0.0,
205,2.105468750000007,0.6875,0.5625,0.0,
206,2.0625000000000053,0.75,0.5,0.0,
207,2.0429687500000044,0.8125,0.4375,0.0,
208,2.0468750000000018,0.875,0.375,0.0,
209,2.0742187500000013,0.9375,0.3125,0.0,
210,2.125,1.0,0.25,0.0,
211,3.09765625,0.3125,1.0,0.0,
212,2.898437500000002,0.375,0.9375,0.0,
213,2.7226562500000053,0.4375,0.875,0.0,
214,2.5703125000000084,0.5,0.8125,0.0,
215,2.4414062500000093,0.5625,0.75,0.0,
216,2.3359375000000093,0.625,0.6875,0.0,
217,2.253906250000008,0.6875,0.625,0.0,
218,2.1953125000000075,0.75,0.5625,0.0,
219,2.1601562500000053,0.8125,0.5,0.0,
220,2.148437500000005,0.875,0.4375,0.0,
221,2.1601562500000013,0.9375,0.375,0.0,
222,2.1953125,1.0,0.3125,0.0,
223,3.140625,0.375,1.0,0.0,
224,2.949218750000003,0.4375,0.9375,0.0,
225,2.7812500000000058,0.5,0.875,0.0,
226,2.6367187500000075,0.5625,0.8125,0.0,
227,2.5156250000000093,0.625,0.75,0.0,
228,2.4179687500000098,0.6875,0.6875,0.0,
229,2.3437500000000084,0.75,0.625,0.0,
230,2.292968750000007,0.8125,0.5625,0.0,
231,2.265625000000004,0.875,0.5,0.0,
232,2.2617187500000018,0.9375,0.4375,0.0,
233,2.28125,1.0,0.375,0.0,
234,3.19140625,0.4375,1.0,0.0,
235,3.0078125000000036,0.5,0.9375,0.0,
236,2.8476562500000058,0.5625,0.875,0.0,
237,2.710937500000008,0.625,0.8125,0.0,
238,2.59765625000001,0.6875,0.75,0.0,
239,2.507812500000007,0.75,0.6875,0.0,
240,2.4414062500000075,0.8125,0.625,0.0,
241,2.3984375000000044,0.875,0.5625,0.0,
242,2.3789062500000027,0.9375,0.5,0.0,
243,2.3828125,1.0,0.4375,0.0,
244,3.25,0.5,1.0,0.0,
245,3.074218750000004,0.5625,0.9375,0.0,
246,2.921875000000006,0.625,0.875,0.0,
247,2.7929687500000075,0.6875,0.8125,0.0,
248,2.6875000000000098,0.75,0.75,0.0,
249,2.605468750000008,0.8125,0.6875,0.0,
250,2.5468750000000058,0.875,0.625,0.0,
251,2.5117187500000036,0.9375,0.5625,0.0,
252,2.5,1.0,0.5,0.0,
253,3.31640625,0.5625,1.0,0.0,
254,3.148437500000004,0.625,0.9375,0.0,
255,3.0039062500000067,0.6875,0.875,0.0,
256,2.8828125000000084,0.75,0.8125,0.0,
257,2.7851562500000075,0.8125,0.75,0.0,
258,2.7109375000000044,0.875,0.6875,0.0,
259,2.6601562500000036,0.9375,0.625,0.0,
260,2.6328125,1.0,0.5625,0.0,
261,3.390625,0.625,1.0,0.0,
262,3.2304687500000044,0.6875,0.9375,0.0,
263,3.093750000000007,0.75,0.875,0.0,
264,2.9804687500000058,0.8125,0.8125,0.0,
265,2.8906250000000058,0.875,0.75,0.0,
266,2.8242187500000036,0.9375,0.6875,0.0,
267,2.78125,1.0,0.625,0.0,
268,3.47265625,0.6875,1.0,0.0,
269,3.3203125000000058,0.75,0.9375,0.0,
270,3.1914062500000067,0.8125,0.875,0.0,
271,3.0859375000000053,0.875,0.8125,0.0,
272,3.003906250000004,0.9375,0.75,0.0,
273,2.9453125,1.0,0.6875,0.0,
274,3.5625,0.75,1.0,0.0,
275,3.417968750000003,0.8125,0.9375,0.0,
276,3.2968750000000044,0.875,0.875,0.0,
277,3.199218750000003,0.9375,0.8125,0.0,
278,3.125,1.0,0.75,0.0,
279,3.66015625,0.8125,1.0,0.0,
280,3.5234375000000036,0.875,0.9375,0.0,
281,3.4101562500000027,0.9375,0.875,0.0,
282,3.3203125,1.0,0.8125,0.0,
283,3.765625,0.875,1.0,0.0,
284,3.636718750000002,0.9375,0.9375,0.0,
285,3.53125,1.0,0.875,0.0,
286,3.87890625,0.9375,1.0,0.0,
287,3.7578125,1.0,0.9375,0.0,
288,4.0,1.0,1.0,0.0,
